text	label
Installation and deletion of apps	1
Locking and unlocking the screen (without user interaction)	1
Collection of device data	1
List of device applications 	1
Device file collection and extraction	1
Phishing attacks via preloaded overlays	1
Various protection capabilities, such as emulation detection	1
It is also capable of running its own TeamViewer instance, and of displaying fake logins for more than 226 applications.	1
ERMAC differs from Cerberus in the usage of different obfuscation techniques and Blowfish encryption algorithm.	1
“Compared to the original Cerberus, ERMAC uses different encryption scheme in communication with the C2: the data is encrypted with AES-128-CBC, and prepended with double word containing the length of the encoded data”	1
The new banking Trojan supports the same latest Cerberus commands, except for a couple of commands that allow to clear the content of the cache of the specified application and steal device accounts.	1
clearCash/clearCashe Triggers opening specified application details	1
getAccounts/logAccounts Triggers stealing a list of the accounts on the device	1
"Dubbed ""Cerberus,"" the new remote access Trojan allows remote attackers to take total control over the infected Android devices and also comes with banking Trojan capabilities like the use of overlay attacks, SMS control, and contact list harvesting."	1
taking screenshots	1
recording audio	1
recording keylogs	1
sending, receiving, and deleting SMSes,	1
stealing contact lists	1
forwarding calls	1
collecting device information	1
Tracking device location	1
stealing account credentials,	1
disabling Play Protect	1
downloading additional apps and payloads	1
removing apps from the infected device	1
pushing notifications	1
locking device's screen	1
Once infected, Cerberus first hides its icon from the application drawer and then asks for the accessibility permission by masquerading itself as Flash Player Service.	1
If granted, the malware automatically registers the compromised device to its command-and-control server, allowing the buyer/attacker to control the device remotely.	1
To steal users' credit card numbers, banking credentials and passwords for other online accounts, Cerberus lets attackers launch screen overlay attacks from its remote dashboard.	1
In screen overlay attack, the Trojan displays an overlay on top of legitimate mobile banking apps and tricks Android users into entering their banking credentials into the fake login screen, just like a phishing attack.	1
Cerberus Uses Motion-based Evasion Tactic	1
Cerberus also uses some interesting techniques to evade detection from antivirus solutions and prevent its analysis, like using the device accelerometer sensor to measure movements of the victim.	1
The malware monitors the user's steps through the device motion sensor to check if it is running on a real Android device.	1
The Cerberus malware can steal banking credentials, bypass security measures and access text messages.	1
Once executed, the malware has the capabilities to steal victims’ bank-account credentials and bypass security measures, including two-factor authentication (2FA).	1
“As is common with banking malware, Cerberus disguised itself as a genuine app in order to access the banking details of unsuspecting users,” Ondrej David, with Avast, said in a Tuesday analysis.	1
Cerberus has various spying and credential-theft functionalities.	1
It can sit over an existing banking app and wait for the user to log into their bank account.	1
Then, it creates a layover over the victims’ login screen, and steals their banking credentials.	1
In addition, the trojan has the ability to access victims’ text messages, meaning that it can view two-factor authentication (2FA) codes sent via message.	1
“It uses Android’s accessibility function, as well as the overlay attack mechanism, which is typical for banking trojans, so when a user opens their regular banking app, an overlay screen is created, and the user’s login details collected,” David told Threatpost.	1
Since then a newly discovered variant of the Cerberus Android trojan has been spotted, with vastly expanded and more sophisticated info-harvesting capabilities, and the ability to run TeamViewer.	1
In February, researchers identified eight malicious Android apps on Google Play distributing the “Haken” malware, which exfiltrates sensitive data from victims and covertly signs them up for expensive premium subscription services.	1
The newly uncovered banking Alien trojan is ‘invading’ Android devices worldwide, using an advanced ability to bypass 2-factor authentication (2FA) security measures to steal victim credentials!	1
When it has infected a device, the RAT tries to take passwords from at least 226 mobile applications; including banking apps like Bank of America Mobile Banking & Capital One Mobile, as well as many collaboration & social apps e.g.	1
The Alien RAT has various commonly used Android malware capabilities, including the ability to launch overlay attacks, control and steal SMS messages & harvest contact lists – as well as keylogging, location-collecting & other capabilities.	1
However, it also deploys several more advanced techniques, including a notification sniffer that allows it to access all new updates on infected devices.	1
This includes 2FA codes, which allow the malware to bypass 2FA security measures.	1
Alien uses this tactic by abusing the:- “android.permission.BIND_NOTIFICATION_LISTENER_SERVICE” to get the content of status bar notifications on the infected device.	1
While the user would need to grant this permission manually in the settings, the malware overcomes this block by using the Accessibility privileges on Android devices, performing all necessary user interactions all by itself.	1
It does this using an advanced remote access feature that compromises the TeamViewer application, giving the bad player behind the malware remote control over the victim’s devices.	1
“When TeamViewer is successfully activated, it provides the actors with full remote control of the device’s user interface, enabling them to access & change device settings, install & remove apps, but also to use any app installed on the device (bank applications, messengers & social networks),” outlined researchers.	1
The big difference between the 2 types is Alien’s 2FA-stealing technique, a feature that Cerberus lacked, they commented.	1
In circulation since at least July 2019, the Remote Access Trojan (RAT) is able to conduct covert surveillance, intercept communication, tamper with device functionality, and steal data including banking credentials by creating overlays on existing banking, retail, and social networking apps.	1
The malware is able to read text messages that may contain one-time passcodes (OTP) and two-factor authentication (2FA) codes, thereby bypassing typical 2FA account protections.	1
In this blog, we describe a relatively new and barely known Android banking Trojan with Remote Access Trojan, notification stealing and authenticator-based 2FA theft capabilities, dubbed Alien, and explain how it relates to infamous Cerberus malware, who’s service has recently been discontinued.	1
This discovery also matched the fact that the newly found samples included the RAT feature, making use of TeamViewer to provide remote access to the infected device.	1
Interestingly enough, this speculation is corroborated by the fact that when the second version of Cerberus (v2) was released in May 2020, it did not introduce any major new features, except for the one to steal 2FA codes from Google’s authenticator app.	1
It has common capabilities such as overlay attacks, control and steal SMS messages and harvest the contact list.	1
It can leverage its keylogger for any use and therefore broaden the attack scope further than its target list.	1
It also offers the possibility to install, start and remove applications from the infected device.	1
Most importantly, it offers a notifications sniffer, allowing it to get the content of all notifications on the infected device, and a RAT (Remote Access Trojan) feature (by abusing the TeamViewer application), meaning that the threat actors can perform the fraud from the victim’s device.	1
Remote access	1
Based on the same code, the two Trojans share most functionalities, but the Alien authors added two major features that are absent from both versions of Cerberus, respectively TeamViewer based remote control of the infected device and the notification sniffer (stealer).	1
rat_disconnect Disables the RAT service	1
open_folder Lists files and subfolders in the specified folder	1
uploadind_file Uploads the specified file to the C2	1
connect_teamviewer Provides credentials for the TeamViewer app and launches it	1
open_team_viewer Launches the TeamViewer app	1
send_settings Sends the current settings of RAT service to the C2	1
get_apps Gets the list of installed applications on the infected device	1
Once the actor provides the credentials to set up the TeamViewer server connection, the Trojan uses the Accessibility privileges to access the TeamViewer application, logs in using the provided credentials, grant any additional permissions it requires to run and dismiss any warnings issued (if applicable).	1
When TeamViewer is successfully activated, it provides the actors with full remote control of the device’s user interface, enabling them to access and change device settings, install and remove apps, but also to use any app installed on the device (bank applications, messengers and social networks).	1
In the case of Alien, advanced features such as the authenticator-code stealer and notifications-sniffer aside, the features of the Trojan are quite common.	1
Millions of Android users are being warned about a devious new banking trojan, dubbed Cerberus, that infects devices by masquerading as an Adobe Flash Player installation.	1
Once installed, the fake download requests accessibility permissions that allow an attack to take place.	1
The malware overlays login screens for banking apps, stealing credentials for its operators.	1
Cerberus also has a crafty evasion technique—using the accelerometer on an infected device to ensure the target is real and not a desk-based security analyst.	1
Cerberus infects users when they access a fake website which immediately requests a download of Adobe Flash Player.	1
Cerberus has been designed to steal banking credentials.	1
It does this—again not unusually—by creating overlays on top of banking apps that capture usernames and passwords as they are being entered.	1
"Cerberus was spread via a fake website that asked users to install Adobe Flash Player."""	1
The malware can then grant itself additional rights to control the device, send messages, make calls, communicate back to its handlers.	1
And so the clever stuff—Cerberus has been designed to avoid detection from desk-based malware analysts by delaying activation until it can confirm the device belongs to a genuine victim.	1
It can harvest contacts, send messages, steal credentials.	1
Cerberus Android Malware Gains Ability to Steal 2FA Tokens, Screen Lock Credentials	1
The Cerberus Android malware family has gained the ability to steal its victims’ two-factor authentication (2FA) tokens and screen lock credentials.	1
This version came with a new remote-access Trojan (RAT) capability that allowed Cerberus to traverse the file system and download its contents.	1
It also enabled the malware to launch TeamViewer and establish connections to it.	1
As such, they could leverage that functionality to change the device’s settings, install or remove any app, use an app, and conduct espionage on the device’s activity.	1
Attackers could also abuse the Accessibility features to steal 2FA codes from the Google Authentication app for the purpose of bypassing authentication services.	1
This trojan uses peoples’ worry of COVID-19 to steal financial data such as credit card numbers.	1
It also uses overlay attacks to trick victims into providing personal information and can capture two-factor authentication details.	1
They are usually spread via phishing campaigns.	1
Corona-Apps.apk uses its connection with the actual virus name to trick users into installing it on their smartphones.	1
Why would such an app want to send and receive text messages, record audio, and read the user’s contact list?	1
DroidJack RAT starts capturing sensitive information like call data, SMS data, videos, photos, etc.	1
Observe below the code routine for call recording.	1
This RAT records all the calls and stores the recording to an “.amr” file.	1
The following is the code routine for video capturing.	1
Here, the RAT stores all the captured videos in a “video.3gp” file.	1
It also harvests call details and SMS logs as shown below.	1
Upon further inspection, we have observed that this RAT extracts WhatsApp data too.	1
The RAT stores all the data in a database (DB) in order to send it to the Command & Control (C&C) server.	1
If you’re a jealous partner, or thinking of stalking someone’s activity and movements, then DroidJack could be just the ticket – as it allows you to take remote control of someone else’s Android device without them noticing, recording private conversations, reading emails, browser history and text messages, as well as tracking their physical location.	1
Of course, just because it is technically possible to do something doesn’t mean that you should do it, and you shouldn’t be swayed by an online store trying to lure you into snooping on other people’s phones and private communications.	1
In this particular attack campaign, DroidJack was spread via SMS messages sent through the OTT carrier to unsuspecting subscribers of its services.	1
"The malicious message contains links to an APK file and users were tricked into clicking the link with the lure of a ""new MMS"" waiting for them to view."	1
In addition to the OTT attack channel, DroidJack was also found by researchers with Proofpoint to have been spread last month by a side load attack through a backdoored version of the Android Pokemon Go app.	1
Case in point, at least one of those unofficial APKs comes modified with DroidJack, a remote access tool which like other mobile trojans gives an attacker full control over an infected device.	1
Proofpoint’s security team describes that the malicious app’s start screen appears identical to that of the legitimate application, which makes it difficult for users to discern whether they’ve been infected with malware.	1
They should first review the permissions requested, as only the malicious version containing DroidJack requests the ability to modify SMS messages and record audio.	1
Such tools allow the administrators of large computer networks to obtain access to individual devices from a remote location.	1
Once DroidJack is on a device, it provides the hacker with an almost universal overview of the device user's data and personal information.	1
Hackers can track the user's GPS coordinates, read SMS messages, listen to phone calls, delete contacts, and even activate and record from the device's mic.	1
Sanjeevi says that the app asks for the user's permission before gaining access to their messages and other information.	1
They prefer cyber-RATs, cyber-crime tools that provide backdoor functionality and access to people’s mobile devices.	1
Like other RATs, this detection allows a remote attacker to control the infected device with a user-friendly control panel – monitor and make phone calls and send SMS messages, get the device’s GPS coordinates, activate and use the camera and microphone and access files on the device.	1
Since the malicious program was detected in 2014, its main functions and propagation method have not changed: Rotexy spreads via links sent in phishing SMSs that prompt the user to install an app.	1
As it launches, it requests device administrator rights, and then starts communicating with its C&C server.	1
Until mid-2015, Rotexy used a plain-text JSON format to communicate with its C&C.	1
In some versions, a dynamically generated low-level domain was used as an address:	1
In its first communication, the Trojan sent the infected device’s IMEI to the C&C, and in return it received a set of rules for processing incoming SMSs (phone numbers, keywords and regular expressions) – these applied mainly to messages from banks, payment systems and mobile network operators.	1
For instance, the Trojan could automatically reply to an SMS and immediately delete it.	1
Rotexy then sent information about the smartphone to the C&C, including the phone model, number, name of the mobile network operator, versions of the operating system and IMEI.	1
Starting from mid-2015, the Trojan began using the AES algorithm to encrypt data communicated between the infected device and the C&C:	1
The page was designed to steal users’ bank card details:	1
At this time, the Trojan also began actively using different methods of obfuscation.	1
When launching for the first time, the Trojan checks if it is being launched in an emulation environment, and in which country it is being launched.	1
If the check is successful, Rotexy registers with GCM and launches SuperService which tracks if the Trojan has device administrator privileges.	1
SuperService also tracks its own status and relaunches if stopped.	1
It performs a privilege check once every second; if unavailable, the Trojan starts requesting them from the user in an infinite loop:	1
If the user agrees and gives the application the requested privileges, another stub page is displayed, and the app hides its icon:	1
If the Trojan detects an attempt to revoke its administrator privileges, it starts periodically switching off the phone screen, trying to stop the user actions.	1
If the privileges are revoked successfully, the Trojan relaunches the cycle of requesting administrator privileges.	1
If, for some reason, SuperService does not switch off the screen when there is an attempt to revoke the device administrator privileges, the Trojan tries to intimidate the user:	1
The relative address to which the Trojan will send information from the device is generated in a pseudo-random manner.	1
Depending on the Trojan version, dynamically generated subdomains can also be used.	1
The Trojan stores information about C&C servers and the data harvested from the infected device in a local SQLite database.	1
First off, the Trojan registers in the administration panel and receives the information it needs to operate from the C&C (the SMS interception templates and the text that will be displayed on HTML pages):	1
Rotexy intercepts all incoming SMSs and processes them according to the templates it received from the C&C.	1
Also, when an SMS arrives, the Trojan puts the phone into silent mode and switches off the screen so the user doesn’t notice that a new SMS has arrived.	1
When required, the Trojan sends an SMS to the specified phone number with the information it has received from the intercepted message.	1
If the application hasn’t received instructions about the rules for processing incoming SMSs, it simply saves all SMSs to a local database and uploads them to the C&C.	1
Apart from general information about the device, the Trojan sends a list of all the running processes and installed applications to the C&C.	1
START, STOP, RESTART — start, stop, restart SuperService.	1
URL — update C&C address.	1
MESSAGE – send SMS containing specified text to a specified number.	1
UPDATE_PATTERNS – reregister in the administration panel.	1
UNBLOCK – unblock the telephone (revoke device administrator privileges from the app).	1
UPDATE – download APK file from C&C and install it.	1
CONTACTS – send text received from C&C to all user contacts.	1
CONTACTS_PRO – request unique message text for contacts from the address book.	1
PAGE – contact URL received from C&C using User-Agent value that was also received from C&C or local database.	1
ALLMSG – send C&C all SMSs received and sent by user, as stored in phone memory.	1
ALLCONTACTS – send all contacts from phone memory to C&C.	1
ONLINE – send information about Trojan’s current status to C&C: whether it has device administrator privileges, which HTML page is currently displayed, whether screen is on or off, etc.	1
NEWMSG – write an SMS to the device memory containing the text and sender number sent from C&C.	1
BLOCKER_BANKING_START – display phishing HTML page for entry of bank card details.	1
BLOCKER_EXTORTIONIST_START – display HTML page of the ransomware.	1
BLOCKER_UPDATE_START – display fake HTML page for update.	1
BLOCKER_STOP – block display of all HTML pages.	1
The Trojan intercepts incoming SMSs and can receive the following commands from them:	1
“3458” — revoke device administrator privileges from the app;	1
“hi”, “ask” — enable and disable mobile internet;	1
“privet”, “ru” — enable and disable Wi-Fi;	1
“check” — send text “install: [device IMEI]” to phone number from which SMS was sent;	1
“stop_blocker” — stop displaying all blocking HTML pages;	1
“393838” — change C&C address to that specified in the SMS.	1
The Trojan displays a fake HTML update page (update.html) that blocks the device’s screen for a long period of time.	1
The Trojan displays the extortion page (extortionist.html) that blocks the device and demands a ransom for unblocking it.	1
The Trojan displays a phishing page (bank.html) prompting the user to enter their bank card details.	1
This page mimics a legitimate bank form and blocks the device screen until the user enters all the information.	1
The following scenario may play out: according to the templates for processing incoming SMSs, Rotexy intercepts a message from the bank that contains the last four digits of the bank card connected to the phone number.	1
The Trojan sends these digits to the C&C, which in turn sends a command to display a fake data entry window to check the four digits.	1
Rotexy may start requesting device administrator privileges again in an infinite loop; in that case, restart the device in safe mode and remove the malicious program.	1
Rotexy spreads through SMS containing links to app download and some catchy texts that prompt people to click those links and download the app.	1
First, Rotexy checks to see what device it has landed on.	1
First by requesting administrator rights.	1
Having got its wicked way, Rotexy reports that the app failed to load and hides its icon.	1
After this, the malware makes contact with its owners, giving them information about the device.	1
By default, Rotexy communicates directly with the C&C server, but its creators implemented other ways to send orders via Google Cloud Messaging and SMS.	1
When a message arrives on an infected phone, the malware switches the gadget into silent mode so that the victim does not notice new incoming SMS.	1
The Trojan then intercepts the message, checks it against the templates received from the C&C server, and if it contains anything juicy (for example, the last digits of a card number in a mobile banking SMS notification), stores and forwards it to the server.	1
If for some reason no templates or special instructions were received from the C&C server, Rotexy simply saves all correspondence on the infected smartphone, and then forwards it to its masters.	1
On top of that, on the cybercriminals’ command, the malware can send a link to download itself to all contacts in the phone book — which is one of the main vectors of propagation for Rotexy Trojan.	1
To do so, it overlays a phishing page on the screen with text received along with the SMS interception instructions.	1
Next, Rotexy extracts the last four digits of the card number from the intercepted banking SMS and matches them against the ones entered on the phishing page.	1
Instead of displaying a phishing page, it blocks the smartphone screen with a menacing window demanding payment of a fine for “regular viewing of prohibited videos.”	1
Google Cloud Messaging Service – to send a small message in JSON format to the android device	1
SMS monitoring or tracking	1
In the first version of Rotexy Trojan (Malware), it spreads via a link sent in Phishing SMS that prompt the user to install an application.	1
When installing the application it asked for the device administrator rights and then start communicating to C&C server.	1
In the next version of Rotexy Trojan Malware, it starts using plain text JSON format to communicate C&C server.	1
Then in the next version of Rotexy trojan malware in 2015-2016, it starts using the AES algorithm to encrypt the data between the user’s device and C&C server.	1
Later, its start using the various method of obfuscation like DEX file is packed with garbage string, AND/OR operations and containing a key to decipher main executable file from APK.	1
Now today, when these applications get downloaded and start the installation, it checks if it is being launched in an emulation or sandbox environment.	1
Then Rotexy Trojan Malware registers with google cloud messaging service and launches super service which checks if the device has the administrator privilege.	1
It also checks its own status and relaunches the app if the app gets close or stopped.	1
It checks privilege in every second and if not available, it starts requesting to the user in an infinite loop.	1
If the application gets the admin privilege then it shows a stub page and hides the application icon from the device.	1
And when Rotexy Trojan detects an attempts to revoke the admin privilege then it starts switching off the user device screen.	1
If privileges are revoked successfully then Rotexy Trojan start requesting for admin privilege again to the user in a loop.	1
Rebooting and switching off the phone	1
Termination of Rotexy Malware Trojan	1
Sending of an SMS using the phone	1
Rotexy Trojan Malware stores the information about the C&C server and infected device data in a local SQLite database.	1
Once, Rotexy Trojan gets the admin privilege then it receives the information from the C&C server that how it needs to operate for example SMS interception templates and HTML page that it needs to show on the application.	1
Rotexy Trojan (Malware) intercept all the incoming SMS and process them according to the templates it received from the C&C server.	1
Rotexy Trojan also puts user’s phone in silent mode and switch of the screen when it received an SMS so the user doesn’t get notified about the incoming message.	1
It can also send a message to the specific phone number with the information that has been received in SMS.	1
With the general information, Rotexy trojan also sends other information to the C&C server like running process and application.	1
Unblock- unblock the user device and revoke the admin privileges	1
URL- update the C&C address or IP	1
Message- Send an SMS with a specified context to a specific phone number	1
CONTACTS- Send text received from the C&C server to all contacts, that is how this is spreading	1
ALL_CONTACTS- send all contact details to the C&C server	1
BLOCKER_BANKING_START- Block the display to show bank’s Phishing HTML page to enter the bank details	1
BLOCKER_EXTORTIONIST_START- Block the display to show Ransome page	1
BLOCKER_UPDATE_START- Block the Display to show device update	1
BLOCKER_STOP- Block display of all HTML pages	1
Rotexy Trojan Blocking the Display:	1
Rotexy Trojan Malware blocks the user’s phone display and shows a Ransome page with some sexually explicit image (that has been covered within a black box).	1
Similarly, Rotexy Trojan Malware blocks the user phone screens and display banking page to enter the bank details.	1
As Rotexy Trojan already has control on your incoming messages and also received bank details then the attacker can perform any transaction or even can change password, ATM card Debit card PIN.	1
One of the features that make it stand out of the crowd is the use at the same time of three separate communication channels for receiving commands.	1
The third method is SMS based and allows the operator to control the actions of malware by sending a text message to the infected mobile phone.	1
Malware analysts Tatyana Shishkova and Lev Pinkman documented the evolution of the Rotexy malware, marking key developments, such as processing SMS communication or applying AES encryption to data exchanged between the target and the C2.	1
Starting late 2016, the trojan showed signs that its focus was on stealing users' bank card data via phishing pages.	1
Later on, the developers added an HTML page that mimicked a login form for a legitimate bank and locked the device screen until the victim provided the necessary information.	1
To make the scam believable, the threat actor included a virtual keyboard that allegedly offered protection against keylogging applications.	1
To lure the victim into giving up the sensitive data, the HTML page shown on the screen informs the victim that they received a money transfer.	1
Its latest version includes a protection mechanism that checks for the country it was launched in and if it runs in an emulated environment.	1
If it is in Russia and on a real system, Rotexy registers with GCM and checks if it has administrator privileges.	1
"""It performs a privilege check once every second; if unavailable, the Trojan starts requesting them from the user in an infinite loop,"" inform the researchers."	1
They added that any attempt to revoke its admin privileges ends with periodically turning off the phone's display, in an attempt to discourage the action.	1
Among the capabilities observed by the researchers is hiding SMS communication from the victim bu putting the phone in silent mode and turning off the screen when the message arrives.	1
Its ransomware features include showing an extortionist HTML page with sexually explicit images and freezing the phone.	1
The malware may start reiterating its request for privileges, and this problem disappears once Rotexy is kicked out of the system: boot in safe mode and remove it.	1
Rotexy malware evaluation was at a peak in 2014 & 2015 and it mainly using the phishing links in order to compromise the users that prompt to install the malicious apps.	1
Rotexy mobile malware keeps requesting the mobile administrative privilege even users restart the mobile in safe mode even the malicious program will be removed.	1
Initially, once an infection starts, the malware checks the device whether any sandbox environment being detected and which country is the victims belonged.	1
Once it successfully finished all the checks then the Rotexy registers with GCM and launches SuperService that help to check the devices admin privileges which keep performing each and every second.	1
Later it displays the application request, requesting root  privileges through an infinite loop to force users to agree and provide the privilege.	1
If the privileges are revoked successfully, the Trojan relaunches the cycle of requesting administrator privileges.”	1
During the background process of Rotexy in the targeted phone, it can able to switching on and rebooting of the phone, termination of its operation, sending of an SMS by the app – in this case, the phone is switched to silent mode.	1
Later the malware using local SQLite database, to store the data that harvested from infected mobile and an information about C&C servers.	1
“Rotexy intercepts all incoming SMSs and processes them according to the templates it received from the C&C.	1
When required, the Trojan sends an SMS to the specified phone number with the information it has received from the intercepted message.”	1
If it doesn’t receive any instruction about rules to process the incoming Messages then it simply stores all the SMS  in local DB and uploads it into the C&C server.	1
Also, The Trojan displays a phishing page (bank.html) prompting the user to enter their bank card details.	1
The latest version of the malware goes well beyond eavesdropping on SMS messages and has incorporated advanced device screen manipulation with the intent of stealing bank card numbers, as well carrying out ransomware attacks, they said.	1
Rotexy’s key ability has always been to intercept and read SMS messages, as well as track a list of all running processes and installed applications (including the possible tracking of antivirus or banking applications).	1
The most current version can block the devices’ screen to perform either ransomware or phishing functions.	1
The most current version of the trojan spreads via links sent in phishing SMSs that prompt the user to install an app.	1
As it launches, the app requests device administrator rights, and then starts communicating with its C&C server.	1
When first launching, the trojan checks to make sure the victim’s device is located in Russia and that it isn’t an emulator used by security researchers to spot malware.	1
If the device checks out, the trojan registers with the mobile notification service Google Cloud Messaging and launches a service to check if the trojan has device administrator privileges, according researchers.	1
“If the privileges are revoked successfully, the Trojan relaunches the cycle of requesting administrator privileges.”	1
Once running, the trojan can track when a phone is switched on or rebooted – and whether text-messages are being sent.	1
To perform SMS tracking capabilities, the trojan sends the infected device’s International Mobile Equipment Identity (IMEI) to the C&C server, and in turn receives a set of rules for processing incoming text messages.	1
“Rotexy intercepts all incoming SMSs and processes them according to the templates it received from the C&C,” researchers said.	1
“Also, when an SMS arrives, the Trojan puts the phone into silent mode and switches off the screen so the user doesn’t notice that a new SMS has arrived.	1
The latest version of Rotexy is able to block the device’s screen for a “long period of time” and displays an extortion page that demands a ransom for unblocking it.	1
Rotexy also displays a tricky phishing page purporting to be a bank, that prompts the user to enter their bank card details.	1
Rotexy does this by intercepting a message from the bank in templates for processing incoming text messages for the victims’ phone.	1
The malware uses infected devices to generate large amounts of fraudulent clicks on advertisements, generating revenues for the perpetrators behind it.	1
To bypass Bouncer, Google Play’s protection, the hackers create a seemingly benign bridgehead app, meant to establish connection to the victim’s device, and insert it into the app store.	1
Once a user downloads a malicious app, it silently registers receivers which establish a connection with the C&C server.	1
The server replies with the actual malicious payload, which includes JavaScript code, a user-agent string and URLs controlled by the malware author.	1
Once the targeted website is launched, the malware uses the JavaScript code to locate and click on banners from the Google ads infrastructure.	1
Hackers can hide their apps’ real intentions or even manipulate users into leaving positive ratings, in some cases unknowingly.	1
"It adds that the malware is ""definitely an illegitimate use of the users' mobile devices for generating fraudulent clicks""."	1
The apps contain code that sends infected devices to a target webpage, where they generate fraudulent clicks on the site's adverts to make money for its creators.	1
Once downloaded, the apps silently register the device to a remote server, which responds by sending back the malicious ad-click software to open a hidden website and generate revenue for the site by clicking on the adverts.	1
